season,round,race_date,race_name,driver_name,driver_id,estimated_top3_probability,estimated_top3_odds_american,estimate_status,model_description,source_url,market_role,safe_as_model_feature
2025,11,2025-05-04,Würth 400,Joey Logano,joey_logano,0.1237245167134636,710,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/texas-motor-speedway-wurth-400-2025,synthetic_evaluation_only,FALSE
2025,12,2025-05-11,AdventHealth 400,Kyle Larson,kyle_larson,0.5014921971282039,-100,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/kansas-adventhealth-400-odds-2025,synthetic_evaluation_only,FALSE
2025,13,2025-05-25,Coca-Cola 600,Ross Chastain,ross_chastain,0.13378471897658617,645,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2026-nascar-odds-coke-600,synthetic_evaluation_only,FALSE
2025,14,2025-06-01,Cracker Barrel 400,Ryan Blaney,ryan_blaney,0.23981691896832774,315,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-nascar-odds-cracker-barrel-400-nashville,synthetic_evaluation_only,FALSE
2025,15,2025-06-08,FireKeepers Casino 400,Denny Hamlin,denny_hamlin,0.3092224497261382,225,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-nascar-odds-michigan-firekeepers-casino-400,synthetic_evaluation_only,FALSE
2025,16,2025-06-15,Viva México 250,Shane van Gisbergen,shane_van_gisbergen,0.5656604854576058,-130,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-nascar-odds-shane-van-gisbergen-favorite-mexico,synthetic_evaluation_only,FALSE
2025,17,2025-06-22,The Great American Getaway 400,Chase Briscoe,chase_briscoe,0.11523805646467243,770,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/pocono-odds-2025,synthetic_evaluation_only,FALSE
2025,18,2025-06-28,Quaker State 400,Chase Elliott,chase_elliott,0.1609145580163389,520,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/nascar-odds-atlanta-quaker-state-400,synthetic_evaluation_only,FALSE
2025,19,2025-07-06,Grant Park 165,Shane van Gisbergen,shane_van_gisbergen,0.7081815394145238,-245,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-chicago-grant-park-165-odds,synthetic_evaluation_only,FALSE
2025,20,2025-07-13,Toyota/Save Mart 350,Shane van Gisbergen,shane_van_gisbergen,0.7615933414618816,-320,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-nascar-odds-sonoma,synthetic_evaluation_only,FALSE
2025,21,2025-07-20,Autotrader EchoPark Automotive 400,Denny Hamlin,denny_hamlin,0.3523220523524369,185,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-nascar-odds-dover,synthetic_evaluation_only,FALSE
2025,22,2025-07-27,Brickyard 400,Bubba Wallace,bubba_wallace,0.1915539268599431,420,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-nascar-odds-brickyard-400,synthetic_evaluation_only,FALSE
2025,23,2025-08-03,Iowa Corn 350,William Byron,william_byron,0.2918312456361281,245,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-nascar-odds-iowa-corn-350,synthetic_evaluation_only,FALSE
2025,24,2025-08-10,Go Bowling at The Glen,Shane van Gisbergen,shane_van_gisbergen,0.88,-735,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-nascar-odds-watkins-glen,synthetic_evaluation_only,FALSE
2025,25,2025-08-16,Cook Out 400,Austin Dillon,austin_dillon,0.09615307481159996,940,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-nascar-odds-richmond-cook-out-400,synthetic_evaluation_only,FALSE
2025,26,2025-08-23,Coke Zero Sugar 400,Ryan Blaney,ryan_blaney,0.1915539268599431,420,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-nascar-odds-daytona-coke-zero-sugar-400,synthetic_evaluation_only,FALSE
2025,27,2025-08-31,Cook Out Southern 500,Chase Briscoe,chase_briscoe,0.23981691896832774,315,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.covers.com/nascar/southern-500-odds-picks-predictions-darlington-raceway-august-31-2025,synthetic_evaluation_only,FALSE
2025,28,2025-09-07,Enjoy Illinois 300,Denny Hamlin,denny_hamlin,0.32917242785340656,205,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-nascar-odds-gateway-enjoy-illinois-300,synthetic_evaluation_only,FALSE
2025,29,2025-09-13,Bass Pro Shops Night Race,Christopher Bell,christopher_bell,0.20502529050677085,390,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-nascar-odds-bristol-playoff-race,synthetic_evaluation_only,FALSE
2025,30,2025-09-21,Mobil 1 301,Ryan Blaney,ryan_blaney,0.43492690189062483,130,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-nascar-odds-new-hampshire-mobil-1-301,synthetic_evaluation_only,FALSE
2025,31,2025-09-28,Hollywood Casino 400,Chase Elliott,chase_elliott,0.1799445199725896,455,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-nascar-odds-kansas-speedway-400,synthetic_evaluation_only,FALSE
2025,32,2025-10-05,Bank of America ROVAL 400,Shane van Gisbergen,shane_van_gisbergen,0.8310283695931395,-490,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-nascar-odds-charlotte-roval,synthetic_evaluation_only,FALSE
2025,33,2025-10-12,South Point 400,Denny Hamlin,denny_hamlin,0.3092224497261382,225,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-nascar-odds-vegas,synthetic_evaluation_only,FALSE
2025,34,2025-10-19,YellaWood 500,Chase Briscoe,chase_briscoe,0.13378471897658617,645,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-nascar-odds-talladega,synthetic_evaluation_only,FALSE
2025,35,2025-10-26,Xfinity 500,William Byron,william_byron,0.4655138940301318,115,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/martinsville-odds-xfinity-500-2025,synthetic_evaluation_only,FALSE
2025,36,2025-11-02,NASCAR Cup Series Championship Race,Ryan Blaney,ryan_blaney,0.347398158197426,190,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2025-nascar-odds-phoenix-championship-race,synthetic_evaluation_only,FALSE
2026,1,2026-02-15,Daytona 500,Tyler Reddick,tyler_reddick,0.07336650836191809,1265,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2026-daytona-500-odds,synthetic_evaluation_only,FALSE
2026,2,2026-02-22,Autotrader 400,Tyler Reddick,tyler_reddick,0.11523805646467243,770,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2026-nascar-odds-atl-spring-race,synthetic_evaluation_only,FALSE
2026,3,2026-03-01,DuraMAX Texas Grand Prix,Tyler Reddick,tyler_reddick,0.37955206578539863,165,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2026-nascar-odds-cota-duramax-texas-grand-prix,synthetic_evaluation_only,FALSE
2026,4,2026-03-08,Straight Talk Wireless 500,Ryan Blaney,ryan_blaney,0.4655138940301318,115,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2026-nascar-odds-phoenix-spring-race,synthetic_evaluation_only,FALSE
2026,5,2026-03-15,Pennzoil 400,Denny Hamlin,denny_hamlin,0.3092224497261382,225,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2026-nascar-odds-vegas-spring-race,synthetic_evaluation_only,FALSE
2026,6,2026-03-22,Goodyear 400,Tyler Reddick,tyler_reddick,0.4518216968387304,120,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/darlington-spring-race-odds,synthetic_evaluation_only,FALSE
2026,7,2026-03-29,Cook Out 400,Chase Elliott,chase_elliott,0.2918312456361281,245,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2026-nascar-odds-cook-out-400-martinsville,synthetic_evaluation_only,FALSE
2026,8,2026-04-12,Food City 500,Ty Gibbs,ty_gibbs,0.26292670025365816,280,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2026-nascar-odds-bristol-spring-race,synthetic_evaluation_only,FALSE
2026,9,2026-04-19,AdventHealth 400,Tyler Reddick,tyler_reddick,0.42700617349629744,135,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2026-nascar-odds-kansas-spring-race,synthetic_evaluation_only,FALSE
2026,10,2026-04-26,Jack Link's 500,Carson Hocevar,carson_hocevar,0.1799445199725896,455,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2026-nascar-odds-talladega-spring-race,synthetic_evaluation_only,FALSE
2026,11,2026-05-03,Würth 400,Chase Elliott,chase_elliott,0.1609145580163389,520,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2026-nascar-odds-texas-wurth-400,synthetic_evaluation_only,FALSE
2026,12,2026-05-10,Go Bowling at The Glen,Shane van Gisbergen,shane_van_gisbergen,0.8653587196296886,-645,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2026-nascar-odds-watkins-glen,synthetic_evaluation_only,FALSE
2026,13,2026-05-24,Coca-Cola 600,Daniel Suárez,daniel_suarez,0.024046643514682053,4060,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2026-nascar-odds-coke-600,synthetic_evaluation_only,FALSE
2026,14,2026-05-31,Cracker Barrel 400,Denny Hamlin,denny_hamlin,0.4655138940301318,115,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2026-nascar-odds-nashville-cracker-barrel-400,synthetic_evaluation_only,FALSE
2026,15,2026-06-07,FireKeepers Casino 400,Denny Hamlin,denny_hamlin,0.39834649678688244,150,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2026-nascar-odds-michigan-firekeepers-casino-400,synthetic_evaluation_only,FALSE
2026,16,2026-06-14,The Great American Getaway 400,Denny Hamlin,denny_hamlin,0.6325562197597784,-170,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2026-nascar-odds-pocono-the-great-american-getaway-400,synthetic_evaluation_only,FALSE
2026,17,2026-06-21,Anduril 250 Race the Base,Corey Heim,corey_heim,0.03935850097578261,2440,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2026-nascar-odds-naval-base-coronado-san-diego-anduril-250,synthetic_evaluation_only,FALSE
2026,18,2026-06-28,Toyota/Save Mart 350,Shane van Gisbergen,shane_van_gisbergen,0.88,-735,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2026-nascar-odds-sonoma,synthetic_evaluation_only,FALSE
2026,19,2026-07-05,eero 400,Chase Briscoe,chase_briscoe,0.13378471897658617,645,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2026-nascar-odds-chicagoland-eero-400,synthetic_evaluation_only,FALSE
2026,20,2026-07-12,Quaker State 400,Ryan Blaney,ryan_blaney,0.26292670025365816,280,Estimated,Power-law fit to matched public Win/Top-3 quotes; 88% cap,https://www.foxsports.com/stories/nascar/2026-nascar-odds-atlanta-summer-race-echopark-speedway,synthetic_evaluation_only,FALSE
