Entry ID,Contest Name,Contest ID,Entry Fee,D,D,D,D,D,D,,Instructions
5196451364,NAS $12K Hot Rod [5 Entry Max] (Cup),192617089,$3,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,1. Column A lists all of your contest entries for this draftgroup
5196451371,NAS $12K Hot Rod [5 Entry Max] (Cup),192617089,$3,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,2. Your current lineup is listed next to each entry (blank for reservations)
5196459848,NAS $12K Hot Rod [5 Entry Max] (Cup),192617089,$3,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry
5196459864,NAS $12K Hot Rod [5 Entry Max] (Cup),192617089,$3,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name
5196461683,NAS $12K Hot Rod [5 Entry Max] (Cup),192617089,$3,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,5. For faster processing only include entries you are changing in the file you upload
5196451160,NAS $15K Engine Block [Single Entry] (Cup),192617102,$12,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,
5196458560,NAS $5K Brake Pad [Single Entry] (Cup),192617107,$4,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
5196687592,NAS $3K Donut (Cup),192617108,$2,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,D,Joey Logano (43667063),Joey Logano,43667063,D,8700,Brickyard 400 presented by PPG,Nasca,28.92
5196687596,NAS $3K Donut (Cup),192617108,$2,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,D,Chris Buescher (43667064),Chris Buescher,43667064,D,8500,Brickyard 400 presented by PPG,Nasca,29.66
5196693793,NAS $3K Donut (Cup),192617108,$2,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,D,Carson Hocevar (43667065),Carson Hocevar,43667065,D,8300,Brickyard 400 presented by PPG,Nasca,32.03
5196693963,NAS $3K Donut (Cup),192617108,$2,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,D,Corey Heim (43667066),Corey Heim,43667066,D,8100,Brickyard 400 presented by PPG,Nasca,34.74
5196693972,NAS $3K Donut (Cup),192617108,$2,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,D,Austin Cindric (43667067),Austin Cindric,43667067,D,7900,Brickyard 400 presented by PPG,Nasca,27.45
5196695994,NAS $3K Donut (Cup),192617108,$2,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,D,Brad Keselowski (43667068),Brad Keselowski,43667068,D,7700,Brickyard 400 presented by PPG,Nasca,30.23
5196696003,NAS $3K Donut (Cup),192617108,$2,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,D,Shane Van Gisbergen (43667069),Shane Van Gisbergen,43667069,D,7500,Brickyard 400 presented by PPG,Nasca,31.29
5196696006,NAS $3K Donut (Cup),192617108,$2,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,D,Erik Jones (43667070),Erik Jones,43667070,D,7300,Brickyard 400 presented by PPG,Nasca,31.87
5196696016,NAS $3K Donut (Cup),192617108,$2,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,D,Ross Chastain (43667071),Ross Chastain,43667071,D,7100,Brickyard 400 presented by PPG,Nasca,23.32
5196696024,NAS $3K Donut (Cup),192617108,$2,Christopher Bell (43667057),Ty Gibbs (43667062),Denny Hamlin (43667053),Michael McDowell (43667079),John H. Nemechek (43667075),Shane Van Gisbergen (43667069),,D,Alex Bowman (43667072),Alex Bowman,43667072,D,7000,Brickyard 400 presented by PPG,Nasca,23.48
,,,,,,,,,,,D,Daniel Suarez (43667073),Daniel Suarez,43667073,D,6900,Brickyard 400 presented by PPG,Nasca,30.92
,,,,,,,,,,,D,Ryan Preece (43667074),Ryan Preece,43667074,D,6700,Brickyard 400 presented by PPG,Nasca,29.37
,,,,,,,,,,,D,John H. Nemechek (43667075),John H. Nemechek,43667075,D,6600,Brickyard 400 presented by PPG,Nasca,23.36
,,,,,,,,,,,D,Riley Herbst (43667076),Riley Herbst,43667076,D,6500,Brickyard 400 presented by PPG,Nasca,23.14
,,,,,,,,,,,D,Josh Berry (43667077),Josh Berry,43667077,D,6300,Brickyard 400 presented by PPG,Nasca,16.13
,,,,,,,,,,,D,Connor Zilisch (43667078),Connor Zilisch,43667078,D,6200,Brickyard 400 presented by PPG,Nasca,16.16
,,,,,,,,,,,D,Michael McDowell (43667079),Michael McDowell,43667079,D,6100,Brickyard 400 presented by PPG,Nasca,25.55
,,,,,,,,,,,D,Zane Smith (43667080),Zane Smith,43667080,D,6000,Brickyard 400 presented by PPG,Nasca,23.11
,,,,,,,,,,,D,Todd Gilliland (43667081),Todd Gilliland,43667081,D,5900,Brickyard 400 presented by PPG,Nasca,26.60
,,,,,,,,,,,D,Austin Dillon (43667082),Austin Dillon,43667082,D,5800,Brickyard 400 presented by PPG,Nasca,25.62
,,,,,,,,,,,D,AJ Allmendinger (43667083),AJ Allmendinger,43667083,D,5600,Brickyard 400 presented by PPG,Nasca,25.86
,,,,,,,,,,,D,Austin Hill (43667084),Austin Hill,43667084,D,5500,Brickyard 400 presented by PPG,Nasca,8.8
,,,,,,,,,,,D,Noah Gragson (43667085),Noah Gragson,43667085,D,5400,Brickyard 400 presented by PPG,Nasca,23.22
,,,,,,,,,,,D,Ricky Stenhouse Jr (43667086),Ricky Stenhouse Jr,43667086,D,5300,Brickyard 400 presented by PPG,Nasca,23.55
,,,,,,,,,,,D,Cole Custer (43667087),Cole Custer,43667087,D,5100,Brickyard 400 presented by PPG,Nasca,17.16
,,,,,,,,,,,D,Ty Dillon (43667088),Ty Dillon,43667088,D,5000,Brickyard 400 presented by PPG,Nasca,23.82
,,,,,,,,,,,D,Cody Ware (43667089),Cody Ware,43667089,D,4800,Brickyard 400 presented by PPG,Nasca,18.13
,,,,,,,,,,,D,Casey Mears (43667090),Casey Mears,43667090,D,4700,Brickyard 400 presented by PPG,Nasca,17.38
,,,,,,,,,,,D,Daniel Dye (43667091),Daniel Dye,43667091,D,4500,Brickyard 400 presented by PPG,Nasca,26.9
