Signal_ID,Race_Key,Season,Round,Grand Prix,Race_Date,Team,Momentum_Raw,Upgrade_Raw,Context_Raw,Source_Confidence,Raw_Weighted_Score,Composite_Chatter_Score,Points_Nudge,Finish_Position_Nudge,Primary_Source_IDs,Coding_Notes,Last_Coded,Coded_By,Race_Source_URL
2018_R02_BAHRAIN_FERRARI,2018_R02_BAHRAIN,2018,2,Bahrain,2018-04-08T00:00:00Z,Ferrari,2,0,0,1,0.9,0.9,0.225,-0.225,EVT_0001,Event-log coded | Momentum +0.8 | rolling momentum base +1.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R02_BAHRAIN_RED_BULL_RACING,2018_R02_BAHRAIN,2018,2,Bahrain,2018-04-08T00:00:00Z,Red Bull Racing,0.2,0,0,0.75,0.09000000000000001,0.0675,0.016875,-0.016875,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base +0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R02_BAHRAIN_RENAULT,2018_R02_BAHRAIN,2018,2,Bahrain,2018-04-08T00:00:00Z,Renault,0.3,0,0,1,0.135,0.135,0.03375,-0.03375,EVT_0007,Event-log coded | Momentum +0.3,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R02_BAHRAIN_HAAS_F1_TEAM,2018_R02_BAHRAIN,2018,2,Bahrain,2018-04-08T00:00:00Z,Haas F1 Team,0.4,0,0,1,0.18000000000000002,0.18000000000000002,0.045000000000000005,-0.045000000000000005,EVT_0006,Event-log coded | Momentum +0.4,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R02_BAHRAIN_MCLAREN,2018_R02_BAHRAIN,2018,2,Bahrain,2018-04-08T00:00:00Z,McLaren,0,0,0.4,1,0.04000000000000001,0.04000000000000001,0.010000000000000002,-0.010000000000000002,EVT_0010,Event-log coded | Context +0.4,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R02_BAHRAIN_FORCE_INDIA_RACING_POINT,2018_R02_BAHRAIN,2018,2,Bahrain,2018-04-08T00:00:00Z,Force India/Racing Point,-0.1,0,0,0.75,-0.045000000000000005,-0.03375,-0.0084375,0.0084375,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.1,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R02_BAHRAIN_SAUBER,2018_R02_BAHRAIN,2018,2,Bahrain,2018-04-08T00:00:00Z,Sauber,-0.1,0,0,0.75,-0.045000000000000005,-0.03375,-0.0084375,0.0084375,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.1,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R02_BAHRAIN_TORO_ROSSO,2018_R02_BAHRAIN,2018,2,Bahrain,2018-04-08T00:00:00Z,Toro Rosso,-0.2,0,0,0.75,-0.09000000000000001,-0.0675,-0.016875,0.016875,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R02_BAHRAIN_WILLIAMS,2018_R02_BAHRAIN,2018,2,Bahrain,2018-04-08T00:00:00Z,Williams,-1.2,0,0,1,-0.54,-0.54,-0.135,0.135,EVT_0009,Event-log coded | Momentum -1.0 | rolling momentum base -0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R03_CHINA_MERCEDES,2018_R03_CHINA,2018,3,China,2018-04-15T00:00:00Z,Mercedes,0.2,0,0,0.75,0.09000000000000001,0.0675,0.016875,-0.016875,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base +0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R03_CHINA_FERRARI,2018_R03_CHINA,2018,3,China,2018-04-15T00:00:00Z,Ferrari,2,0,0,1,0.9,0.9,0.225,-0.225,EVT_0001,Event-log coded | Momentum +0.8 | rolling momentum base +1.8,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R03_CHINA_RED_BULL_RACING,2018_R03_CHINA,2018,3,China,2018-04-15T00:00:00Z,Red Bull Racing,0.8,0,0,1,0.36000000000000004,0.36000000000000004,0.09000000000000001,-0.09000000000000001,EVT_0004,Event-log coded | Momentum +0.5 | rolling momentum base +0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R03_CHINA_RENAULT,2018_R03_CHINA,2018,3,China,2018-04-15T00:00:00Z,Renault,0.3,0,0,1,0.135,0.135,0.03375,-0.03375,EVT_0007,Event-log coded | Momentum +0.3,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R03_CHINA_HAAS_F1_TEAM,2018_R03_CHINA,2018,3,China,2018-04-15T00:00:00Z,Haas F1 Team,0.4,0,0,1,0.18000000000000002,0.18000000000000002,0.045000000000000005,-0.045000000000000005,EVT_0006,Event-log coded | Momentum +0.4,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R03_CHINA_MCLAREN,2018_R03_CHINA,2018,3,China,2018-04-15T00:00:00Z,McLaren,0,0,0.4,1,0.04000000000000001,0.04000000000000001,0.010000000000000002,-0.010000000000000002,EVT_0010,Event-log coded | Context +0.4,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R03_CHINA_FORCE_INDIA_RACING_POINT,2018_R03_CHINA,2018,3,China,2018-04-15T00:00:00Z,Force India/Racing Point,-0.1,0,0,0.75,-0.045000000000000005,-0.03375,-0.0084375,0.0084375,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.1,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R03_CHINA_SAUBER,2018_R03_CHINA,2018,3,China,2018-04-15T00:00:00Z,Sauber,-0.1,0,0,0.75,-0.045000000000000005,-0.03375,-0.0084375,0.0084375,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.1,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R03_CHINA_TORO_ROSSO,2018_R03_CHINA,2018,3,China,2018-04-15T00:00:00Z,Toro Rosso,-0.2,0,0,0.75,-0.09000000000000001,-0.0675,-0.016875,0.016875,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R03_CHINA_WILLIAMS,2018_R03_CHINA,2018,3,China,2018-04-15T00:00:00Z,Williams,-1.2,0,0,1,-0.54,-0.54,-0.135,0.135,EVT_0009,Event-log coded | Momentum -1.0 | rolling momentum base -0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R04_AZERBAIJAN_MERCEDES,2018_R04_AZERBAIJAN,2018,4,Azerbaijan,2018-04-29T00:00:00Z,Mercedes,1.1,0,0,1,0.49500000000000005,0.49500000000000005,0.12375000000000001,-0.12375000000000001,EVT_0002,Event-log coded | Momentum +0.8 | rolling momentum base +0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R04_AZERBAIJAN_FERRARI,2018_R04_AZERBAIJAN,2018,4,Azerbaijan,2018-04-29T00:00:00Z,Ferrari,1.8,0,0,1,0.81,0.81,0.2025,-0.2025,EVT_0001,Event-log coded | Momentum +0.8 | rolling momentum base +1.0,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R04_AZERBAIJAN_RED_BULL_RACING,2018_R04_AZERBAIJAN,2018,4,Azerbaijan,2018-04-29T00:00:00Z,Red Bull Racing,1.7,0,0,1,0.765,0.765,0.19125,-0.19125,EVT_0004,Event-log coded | Momentum +0.5 | rolling momentum base +1.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R04_AZERBAIJAN_RENAULT,2018_R04_AZERBAIJAN,2018,4,Azerbaijan,2018-04-29T00:00:00Z,Renault,0.3,0,0,1,0.135,0.135,0.03375,-0.03375,EVT_0007,Event-log coded | Momentum +0.3,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R04_AZERBAIJAN_HAAS_F1_TEAM,2018_R04_AZERBAIJAN,2018,4,Azerbaijan,2018-04-29T00:00:00Z,Haas F1 Team,0.4,0,0,1,0.18000000000000002,0.18000000000000002,0.045000000000000005,-0.045000000000000005,EVT_0006,Event-log coded | Momentum +0.4,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R04_AZERBAIJAN_MCLAREN,2018_R04_AZERBAIJAN,2018,4,Azerbaijan,2018-04-29T00:00:00Z,McLaren,0,0,0,0.75,0,0,0,0,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R04_AZERBAIJAN_FORCE_INDIA_RACING_POINT,2018_R04_AZERBAIJAN,2018,4,Azerbaijan,2018-04-29T00:00:00Z,Force India/Racing Point,-0.1,0,0,0.75,-0.045000000000000005,-0.03375,-0.0084375,0.0084375,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.1,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R04_AZERBAIJAN_SAUBER,2018_R04_AZERBAIJAN,2018,4,Azerbaijan,2018-04-29T00:00:00Z,Sauber,-0.1,0,0,0.75,-0.045000000000000005,-0.03375,-0.0084375,0.0084375,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.1,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R04_AZERBAIJAN_TORO_ROSSO,2018_R04_AZERBAIJAN,2018,4,Azerbaijan,2018-04-29T00:00:00Z,Toro Rosso,-0.2,0,0,0.75,-0.09000000000000001,-0.0675,-0.016875,0.016875,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R04_AZERBAIJAN_WILLIAMS,2018_R04_AZERBAIJAN,2018,4,Azerbaijan,2018-04-29T00:00:00Z,Williams,-1.2,0,0,1,-0.54,-0.54,-0.135,0.135,EVT_0009,Event-log coded | Momentum -1.0 | rolling momentum base -0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R05_SPAIN_MERCEDES,2018_R05_SPAIN,2018,5,Spain,2018-05-13T00:00:00Z,Mercedes,2,1,0,1,1.35,1,0.25,-0.25,EVT_0002; EVT_0011,Event-log coded | Momentum +0.8; Upgrade +1.0 | rolling momentum base +1.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R05_SPAIN_FERRARI,2018_R05_SPAIN,2018,5,Spain,2018-05-13T00:00:00Z,Ferrari,1.4,0,0,1,0.63,0.63,0.1575,-0.1575,EVT_0001,Event-log coded | Momentum +0.8 | rolling momentum base +0.6,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R05_SPAIN_RED_BULL_RACING,2018_R05_SPAIN,2018,5,Spain,2018-05-13T00:00:00Z,Red Bull Racing,0.9,0,0,1,0.405,0.405,0.10125,-0.10125,EVT_0004,Event-log coded | Momentum +0.5 | rolling momentum base +0.4,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R05_SPAIN_RENAULT,2018_R05_SPAIN,2018,5,Spain,2018-05-13T00:00:00Z,Renault,0.3,0,0,1,0.135,0.135,0.03375,-0.03375,EVT_0007,Event-log coded | Momentum +0.3,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R05_SPAIN_HAAS_F1_TEAM,2018_R05_SPAIN,2018,5,Spain,2018-05-13T00:00:00Z,Haas F1 Team,0.4,0,0,1,0.18000000000000002,0.18000000000000002,0.045000000000000005,-0.045000000000000005,EVT_0006,Event-log coded | Momentum +0.4,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R05_SPAIN_MCLAREN,2018_R05_SPAIN,2018,5,Spain,2018-05-13T00:00:00Z,McLaren,0,0,0,0.75,0,0,0,0,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R05_SPAIN_FORCE_INDIA_RACING_POINT,2018_R05_SPAIN,2018,5,Spain,2018-05-13T00:00:00Z,Force India/Racing Point,-0.1,0,0,0.75,-0.045000000000000005,-0.03375,-0.0084375,0.0084375,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.1,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R05_SPAIN_SAUBER,2018_R05_SPAIN,2018,5,Spain,2018-05-13T00:00:00Z,Sauber,-0.1,0,0,0.75,-0.045000000000000005,-0.03375,-0.0084375,0.0084375,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.1,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R05_SPAIN_TORO_ROSSO,2018_R05_SPAIN,2018,5,Spain,2018-05-13T00:00:00Z,Toro Rosso,-0.2,0,0,0.75,-0.09000000000000001,-0.0675,-0.016875,0.016875,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R05_SPAIN_WILLIAMS,2018_R05_SPAIN,2018,5,Spain,2018-05-13T00:00:00Z,Williams,-1.2,0,0,1,-0.54,-0.54,-0.135,0.135,EVT_0009,Event-log coded | Momentum -1.0 | rolling momentum base -0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R06_MONACO_MERCEDES,2018_R06_MONACO,2018,6,Monaco,2018-05-27T00:00:00Z,Mercedes,2,1,0,1,1.35,1,0.25,-0.25,EVT_0002; EVT_0011,Event-log coded | Momentum +0.8; Upgrade +1.0 | rolling momentum base +1.8,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R06_MONACO_FERRARI,2018_R06_MONACO,2018,6,Monaco,2018-05-27T00:00:00Z,Ferrari,1.1,0,0,1,0.49500000000000005,0.49500000000000005,0.12375000000000001,-0.12375000000000001,EVT_0001,Event-log coded | Momentum +0.8 | rolling momentum base +0.3,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R06_MONACO_RED_BULL_RACING,2018_R06_MONACO,2018,6,Monaco,2018-05-27T00:00:00Z,Red Bull Racing,0.9,0.5,0,1,0.63,0.63,0.1575,-0.1575,EVT_0004; EVT_0013,Event-log coded | Momentum +0.5; Upgrade +0.5 | rolling momentum base +0.4,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R06_MONACO_RENAULT,2018_R06_MONACO,2018,6,Monaco,2018-05-27T00:00:00Z,Renault,0.3,0,0,1,0.135,0.135,0.03375,-0.03375,EVT_0007,Event-log coded | Momentum +0.3,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R06_MONACO_HAAS_F1_TEAM,2018_R06_MONACO,2018,6,Monaco,2018-05-27T00:00:00Z,Haas F1 Team,0.4,0,0,1,0.18000000000000002,0.18000000000000002,0.045000000000000005,-0.045000000000000005,EVT_0006,Event-log coded | Momentum +0.4,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R06_MONACO_MCLAREN,2018_R06_MONACO,2018,6,Monaco,2018-05-27T00:00:00Z,McLaren,0,0,0,0.75,0,0,0,0,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R06_MONACO_FORCE_INDIA_RACING_POINT,2018_R06_MONACO,2018,6,Monaco,2018-05-27T00:00:00Z,Force India/Racing Point,-0.1,0,0,0.75,-0.045000000000000005,-0.03375,-0.0084375,0.0084375,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.1,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R06_MONACO_SAUBER,2018_R06_MONACO,2018,6,Monaco,2018-05-27T00:00:00Z,Sauber,-0.1,0,0,0.75,-0.045000000000000005,-0.03375,-0.0084375,0.0084375,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.1,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R06_MONACO_TORO_ROSSO,2018_R06_MONACO,2018,6,Monaco,2018-05-27T00:00:00Z,Toro Rosso,-0.2,0,0,0.75,-0.09000000000000001,-0.0675,-0.016875,0.016875,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R06_MONACO_WILLIAMS,2018_R06_MONACO,2018,6,Monaco,2018-05-27T00:00:00Z,Williams,-1.2,0,0,1,-0.54,-0.54,-0.135,0.135,EVT_0009,Event-log coded | Momentum -1.0 | rolling momentum base -0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R07_CANADA_MERCEDES,2018_R07_CANADA,2018,7,Canada,2018-06-10T00:00:00Z,Mercedes,1.8,1,0,1,1.26,1,0.25,-0.25,EVT_0002; EVT_0011,Event-log coded | Momentum +0.8; Upgrade +1.0 | rolling momentum base +1.0,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R07_CANADA_FERRARI,2018_R07_CANADA,2018,7,Canada,2018-06-10T00:00:00Z,Ferrari,0.9,0.6,0,1,0.675,0.675,0.16875,-0.16875,EVT_0001; EVT_0012,Event-log coded | Momentum +0.8; Upgrade +0.6 | rolling momentum base +0.1,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R07_CANADA_RED_BULL_RACING,2018_R07_CANADA,2018,7,Canada,2018-06-10T00:00:00Z,Red Bull Racing,1.9,0.5,0,1,1.08,1,0.25,-0.25,EVT_0004; EVT_0013,Event-log coded | Momentum +0.5; Upgrade +0.5 | rolling momentum base +1.4,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R07_CANADA_RENAULT,2018_R07_CANADA,2018,7,Canada,2018-06-10T00:00:00Z,Renault,0.3,0,0,1,0.135,0.135,0.03375,-0.03375,EVT_0007,Event-log coded | Momentum +0.3,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R07_CANADA_HAAS_F1_TEAM,2018_R07_CANADA,2018,7,Canada,2018-06-10T00:00:00Z,Haas F1 Team,0.4,0,0,1,0.18000000000000002,0.18000000000000002,0.045000000000000005,-0.045000000000000005,EVT_0006,Event-log coded | Momentum +0.4,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R07_CANADA_MCLAREN,2018_R07_CANADA,2018,7,Canada,2018-06-10T00:00:00Z,McLaren,0,0,0,0.75,0,0,0,0,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R07_CANADA_FORCE_INDIA_RACING_POINT,2018_R07_CANADA,2018,7,Canada,2018-06-10T00:00:00Z,Force India/Racing Point,-0.1,0,0,0.75,-0.045000000000000005,-0.03375,-0.0084375,0.0084375,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.1,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R07_CANADA_SAUBER,2018_R07_CANADA,2018,7,Canada,2018-06-10T00:00:00Z,Sauber,-0.1,0,0,0.75,-0.045000000000000005,-0.03375,-0.0084375,0.0084375,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.1,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R07_CANADA_TORO_ROSSO,2018_R07_CANADA,2018,7,Canada,2018-06-10T00:00:00Z,Toro Rosso,-0.2,0,0,0.75,-0.09000000000000001,-0.0675,-0.016875,0.016875,Rolling_Result_Form; Season_Tier_Proxy,Proxy coded from recent results/form and season-tier scaffold | rolling momentum base -0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R07_CANADA_WILLIAMS,2018_R07_CANADA,2018,7,Canada,2018-06-10T00:00:00Z,Williams,-1.2,0,0,1,-0.54,-0.54,-0.135,0.135,EVT_0009,Event-log coded | Momentum -1.0 | rolling momentum base -0.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R08_FRANCE_MERCEDES,2018_R08_FRANCE,2018,8,France,2018-06-24T00:00:00Z,Mercedes,2,1,0,1,1.35,1,0.25,-0.25,EVT_0002; EVT_0003; EVT_0011,Event-log coded | Momentum +1.4; Upgrade +1.0 | rolling momentum base +0.6,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R08_FRANCE_FERRARI,2018_R08_FRANCE,2018,8,France,2018-06-24T00:00:00Z,Ferrari,1.2,0.6,0,1,0.81,0.81,0.2025,-0.2025,EVT_0012,Event-log coded | Upgrade +0.6 | rolling momentum base +1.2,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R08_FRANCE_RED_BULL_RACING,2018_R08_FRANCE,2018,8,France,2018-06-24T00:00:00Z,Red Bull Racing,1.1,0.5,0,1,0.7200000000000001,0.7200000000000001,0.18000000000000002,-0.18000000000000002,EVT_0004; EVT_0013,Event-log coded | Momentum +0.5; Upgrade +0.5 | rolling momentum base +0.6,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
2018_R08_FRANCE_RENAULT,2018_R08_FRANCE,2018,8,France,2018-06-24T00:00:00Z,Renault,0.3,0,0,1,0.135,0.135,0.03375,-0.03375,EVT_0007,Event-log coded | Momentum +0.3,2026-07-03,GPT-5.5 Thinking,https://www.formula1.com/en/results/2018/races
