signal_id,season,round,race_date,driver_id,driver_name,source_published_date,source_published_at,green_flag_utc,source_url,source_outlet,source_tier,momentum_raw,track_fit_raw,context_raw,source_confidence,coding_notes
2018_r02_officialrun_ryan_newman,2018,2,2018-02-25,ryan_newman,Ryan Newman,2018-02-24,2018-02-24T12:00:00Z,2018-02-25T13:00:00Z,https://cf.nascar.com/cacher/2018/1/4677/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.95,Official archived practice run: position 1 of the selected pre-race session.
2018_r03_blaney_pole,2018,3,2018-03-04,ryan_blaney,Ryan Blaney,2018-03-02,,,https://www.nascar.com/news-media/2018/03/02/results-las-vegas-monster-energy-series-qualifying/,NASCAR.com,primary,0,0,2,0.95,Won the Cup pole and credited the team for improving the car round to round.
2018_r03_busch_practice,2018,3,2018-03-04,kyle_busch,Kyle Busch,2018-03-02,,,https://www.nascar.com/news-media/2018/03/02/las-vegas-practice-results,NASCAR.com,primary,0,0,1,0.90,Fourth-fastest in opening Cup practice.
2018_r03_byron_practice,2018,3,2018-03-04,william_byron,William Byron,2018-03-02,,,https://www.nascar.com/news-media/2018/03/02/las-vegas-practice-results,NASCAR.com,primary,0,0,1,0.90,Fifth-fastest in opening Cup practice.
2018_r03_harvick_practice,2018,3,2018-03-04,kevin_harvick,Kevin Harvick,2018-03-02,,,https://www.nascar.com/news-media/2018/03/02/las-vegas-practice-results,NASCAR.com,primary,1,0,1,0.90,Prior-week winner and second-fastest in opening Cup practice.
2018_r03_harvick_qualifying,2018,3,2018-03-04,kevin_harvick,Kevin Harvick,2018-03-02,,,https://www.nascar.com/news-media/2018/03/02/results-las-vegas-monster-energy-series-qualifying/,NASCAR.com,primary,0,0,1,0.90,Qualified second.
2018_r03_kurt_qualifying,2018,3,2018-03-04,kurt_busch,Kurt Busch,2018-03-02,,,https://www.nascar.com/news-media/2018/03/02/results-las-vegas-monster-energy-series-qualifying/,NASCAR.com,primary,0,0,1,0.90,Qualified third.
2018_r03_larson_practice,2018,3,2018-03-04,kyle_larson,Kyle Larson,2018-03-02,,,https://www.nascar.com/news-media/2018/03/02/las-vegas-practice-results,NASCAR.com,primary,0,0,2,0.95,Fastest in opening Cup practice.
2018_r03_menard_practice,2018,3,2018-03-04,paul_menard,Paul Menard,2018-03-02,,,https://www.nascar.com/news-media/2018/03/02/las-vegas-practice-results,NASCAR.com,primary,0,0,1,0.90,Third-fastest in opening Cup practice.
2018_r03_officialrun_chase_elliott,2018,3,2018-03-04,chase_elliott,Chase Elliott,2018-03-03,2018-03-03T11:30:00Z,2018-03-04T15:30:00Z,https://cf.nascar.com/cacher/2018/1/4678/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 4 of the selected pre-race session.
2018_r03_officialrun_kyle_larson,2018,3,2018-03-04,kyle_larson,Kyle Larson,2018-03-03,2018-03-03T11:30:00Z,2018-03-04T15:30:00Z,https://cf.nascar.com/cacher/2018/1/4678/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.9,Official archived practice run: position 2 of the selected pre-race session.
2018_r03_officialrun_martin_truex_jr,2018,3,2018-03-04,martin_truex_jr,Martin Truex Jr.,2018-03-03,2018-03-03T11:30:00Z,2018-03-04T15:30:00Z,https://cf.nascar.com/cacher/2018/1/4678/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 3 of the selected pre-race session.
2018_r03_officialrun_ryan_blaney,2018,3,2018-03-04,ryan_blaney,Ryan Blaney,2018-03-03,2018-03-03T11:30:00Z,2018-03-04T15:30:00Z,https://cf.nascar.com/cacher/2018/1/4678/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.95,Official archived practice run: position 1 of the selected pre-race session.
2018_r03_officialrun_william_byron,2018,3,2018-03-04,william_byron,William Byron,2018-03-03,2018-03-03T11:30:00Z,2018-03-04T15:30:00Z,https://cf.nascar.com/cacher/2018/1/4678/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 5 of the selected pre-race session.
2018_r04_bowman_notebook,2018,4,2018-03-11,alex_bowman,Alex Bowman,2018-03-09,,,https://www.nascar.com/news-media/2018/03/09/bowman-really-good-notebook-possibly-close-deal-home-state/,NASCAR.com,primary,0,1,1,0.85,Home-state driver described having a useful prior Phoenix notebook and a basis for setup changes.
2018_r04_busch_practice,2018,4,2018-03-11,kyle_busch,Kyle Busch,2018-03-09,,,https://www.nascar.com/news-media/2018/03/09/phoenix-practice-recap-kyle-larson-chip-ganassi-racing/,NASCAR.com,primary,0,0,1,0.90,Third-fastest in opening Cup practice.
2018_r04_byron_practice,2018,4,2018-03-11,william_byron,William Byron,2018-03-09,,,https://www.nascar.com/news-media/2018/03/09/phoenix-practice-recap-kyle-larson-chip-ganassi-racing/,NASCAR.com,primary,0,0,1,0.90,Fourth-fastest in opening Cup practice.
2018_r04_chastain_penalty,2018,4,2018-03-11,ross_chastain,Ross Chastain,2018-03-09,,,https://www.nascar.com/news-media/2018/03/09/phoenix-practice-recap-kyle-larson-chip-ganassi-racing/,NASCAR.com,primary,0,0,-1,0.90,Lost 30 minutes of opening practice after prior inspection failures.
2018_r04_dibenedetto_penalty,2018,4,2018-03-11,matt_dibenedetto,Matt DiBenedetto,2018-03-09,,,https://www.nascar.com/news-media/2018/03/09/phoenix-practice-recap-kyle-larson-chip-ganassi-racing/,NASCAR.com,primary,0,0,-1,0.90,Lost 15 minutes of opening practice after prior inspection failures.
2018_r04_elliott_practice,2018,4,2018-03-11,chase_elliott,Chase Elliott,2018-03-09,,,https://www.nascar.com/news-media/2018/03/09/phoenix-practice-recap-kyle-larson-chip-ganassi-racing/,NASCAR.com,primary,0,0,1,0.90,Fifth-fastest in opening Cup practice.
2018_r04_harvick_motivation,2018,4,2018-03-11,kevin_harvick,Kevin Harvick,2018-03-09,,,https://www.nascar.com/news-media/2018/03/09/kevin-harvick-las-vegas-penalty-reaction-motivation/,NASCAR.com,primary,2,2,1,0.95,"Two-race winning streak, eight prior Phoenix wins, strong team/driver confidence despite the penalty."
2018_r04_johnson_optimism,2018,4,2018-03-11,jimmie_johnson,Jimmie Johnson,2018-03-09,,,https://www.nascar.com/news-media/2018/03/09/johnson-optimistic-speed-no-48-phoenix-qualifying/,NASCAR.com,primary,0,0,1,0.85,Driver was optimistic about first-round speed but acknowledged limited practice and missing the final qualifying round.
2018_r04_johnson_penalty,2018,4,2018-03-11,jimmie_johnson,Jimmie Johnson,2018-03-09,,,https://www.nascar.com/news-media/2018/03/09/phoenix-practice-recap-kyle-larson-chip-ganassi-racing/,NASCAR.com,primary,0,0,-1,0.90,Lost 30 minutes of opening practice after prior inspection failures.
2018_r04_larson_practice,2018,4,2018-03-11,kyle_larson,Kyle Larson,2018-03-09,,,https://www.nascar.com/news-media/2018/03/09/phoenix-practice-recap-kyle-larson-chip-ganassi-racing/,NASCAR.com,primary,0,0,2,0.95,Fastest in opening Cup practice.
2018_r04_mcmurray_practice,2018,4,2018-03-11,jamie_mcmurray,Jamie McMurray,2018-03-09,,,https://www.nascar.com/news-media/2018/03/09/phoenix-practice-recap-kyle-larson-chip-ganassi-racing/,NASCAR.com,primary,0,0,2,0.95,Second-fastest in opening Cup practice.
2018_r04_officialrun_alex_bowman,2018,4,2018-03-11,alex_bowman,Alex Bowman,2018-03-10,2018-03-10T12:30:00Z,2018-03-11T15:30:00Z,https://cf.nascar.com/cacher/2018/1/4679/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 5 of the selected pre-race session.
2018_r04_officialrun_aric_almirola,2018,4,2018-03-11,aric_almirola,Aric Almirola,2018-03-10,2018-03-10T12:30:00Z,2018-03-11T15:30:00Z,https://cf.nascar.com/cacher/2018/1/4679/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 4 of the selected pre-race session.
2018_r04_officialrun_jamie_mcmurray,2018,4,2018-03-11,jamie_mcmurray,Jamie McMurray,2018-03-10,2018-03-10T12:30:00Z,2018-03-11T15:30:00Z,https://cf.nascar.com/cacher/2018/1/4679/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.9,Official archived practice run: position 2 of the selected pre-race session.
2018_r04_officialrun_kevin_harvick,2018,4,2018-03-11,kevin_harvick,Kevin Harvick,2018-03-10,2018-03-10T12:30:00Z,2018-03-11T15:30:00Z,https://cf.nascar.com/cacher/2018/1/4679/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.95,Official archived practice run: position 1 of the selected pre-race session.
2018_r04_officialrun_martin_truex_jr,2018,4,2018-03-11,martin_truex_jr,Martin Truex Jr.,2018-03-10,2018-03-10T12:30:00Z,2018-03-11T15:30:00Z,https://cf.nascar.com/cacher/2018/1/4679/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 3 of the selected pre-race session.
2018_r04_stenhouse_backup,2018,4,2018-03-11,ricky_stenhouse_jr,Ricky Stenhouse Jr.,2018-03-09,,,https://www.nascar.com/news-media/2018/03/09/phoenix-practice-recap-kyle-larson-chip-ganassi-racing/,NASCAR.com,primary,0,0,-2,0.95,Hit the wall after a suspected braking issue and moved to a backup car.
2018_r04_truex_pole,2018,4,2018-03-11,martin_truex_jr,Martin Truex Jr.,2018-03-09,,,https://www.nascar.com/news-media/2018/03/09/martin-truex-jr-earns-first-pole-season-phoenix/,NASCAR.com,primary,0,0,2,0.95,Won pole; described effective practice adjustments and strong team communication.
2018_r05_logano_xfinity,2018,5,2018-03-18,joey_logano,Joey Logano,2018-03-17,,,https://www.nascar.com/news-media/2018/03/17/joey-logano-dominates-xfinity-series-race-at-auto-club-speedway/,NASCAR.com,primary,1,1,2,0.85,"Dominated and won the Saturday Xfinity race at the same track, demonstrating same-weekend speed."
2018_r05_officialrun_brad_keselowski,2018,5,2018-03-18,brad_keselowski,Brad Keselowski,2018-03-17,2018-03-17T12:30:00Z,2018-03-18T15:30:00Z,https://cf.nascar.com/cacher/2018/1/4680/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 5 of the selected pre-race session.
2018_r05_officialrun_jimmie_johnson,2018,5,2018-03-18,jimmie_johnson,Jimmie Johnson,2018-03-17,2018-03-17T12:30:00Z,2018-03-18T15:30:00Z,https://cf.nascar.com/cacher/2018/1/4680/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 3 of the selected pre-race session.
2018_r05_officialrun_kevin_harvick,2018,5,2018-03-18,kevin_harvick,Kevin Harvick,2018-03-17,2018-03-17T12:30:00Z,2018-03-18T15:30:00Z,https://cf.nascar.com/cacher/2018/1/4680/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 4 of the selected pre-race session.
2018_r05_officialrun_kyle_busch,2018,5,2018-03-18,kyle_busch,Kyle Busch,2018-03-17,2018-03-17T12:30:00Z,2018-03-18T15:30:00Z,https://cf.nascar.com/cacher/2018/1/4680/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.95,Official archived practice run: position 1 of the selected pre-race session.
2018_r05_officialrun_martin_truex_jr,2018,5,2018-03-18,martin_truex_jr,Martin Truex Jr.,2018-03-17,2018-03-17T12:30:00Z,2018-03-18T15:30:00Z,https://cf.nascar.com/cacher/2018/1/4680/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.9,Official archived practice run: position 2 of the selected pre-race session.
2018_r06_officialrun_brad_keselowski,2018,6,2018-03-26,brad_keselowski,Brad Keselowski,2018-03-24,2018-03-24T12:30:00Z,2018-03-26T14:00:00Z,https://cf.nascar.com/cacher/2018/1/4681/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.9,Official archived practice run: position 2 of the selected pre-race session.
2018_r06_officialrun_daniel_suarez,2018,6,2018-03-26,daniel_suarez,Daniel Suarez,2018-03-24,2018-03-24T12:30:00Z,2018-03-26T14:00:00Z,https://cf.nascar.com/cacher/2018/1/4681/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 3 of the selected pre-race session.
2018_r06_officialrun_kyle_busch,2018,6,2018-03-26,kyle_busch,Kyle Busch,2018-03-24,2018-03-24T12:30:00Z,2018-03-26T14:00:00Z,https://cf.nascar.com/cacher/2018/1/4681/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 4 of the selected pre-race session.
2018_r06_officialrun_martin_truex_jr,2018,6,2018-03-26,martin_truex_jr,Martin Truex Jr.,2018-03-24,2018-03-24T12:30:00Z,2018-03-26T14:00:00Z,https://cf.nascar.com/cacher/2018/1/4681/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.95,Official archived practice run: position 1 of the selected pre-race session.
2018_r06_officialrun_ryan_newman,2018,6,2018-03-26,ryan_newman,Ryan Newman,2018-03-24,2018-03-24T12:30:00Z,2018-03-26T14:00:00Z,https://cf.nascar.com/cacher/2018/1/4681/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 5 of the selected pre-race session.
2018_r07_officialrun_daniel_suarez,2018,7,2018-04-08,daniel_suarez,Daniel Suarez,2018-04-07,2018-04-07T12:30:00Z,2018-04-08T14:00:00Z,https://cf.nascar.com/cacher/2018/1/4682/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 3 of the selected pre-race session.
2018_r07_officialrun_jimmie_johnson,2018,7,2018-04-08,jimmie_johnson,Jimmie Johnson,2018-04-07,2018-04-07T12:30:00Z,2018-04-08T14:00:00Z,https://cf.nascar.com/cacher/2018/1/4682/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.95,Official archived practice run: position 1 of the selected pre-race session.
2018_r07_officialrun_kevin_harvick,2018,7,2018-04-08,kevin_harvick,Kevin Harvick,2018-04-07,2018-04-07T12:30:00Z,2018-04-08T14:00:00Z,https://cf.nascar.com/cacher/2018/1/4682/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.9,Official archived practice run: position 2 of the selected pre-race session.
2018_r07_officialrun_kurt_busch,2018,7,2018-04-08,kurt_busch,Kurt Busch,2018-04-07,2018-04-07T12:30:00Z,2018-04-08T14:00:00Z,https://cf.nascar.com/cacher/2018/1/4682/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 4 of the selected pre-race session.
2018_r07_officialrun_martin_truex_jr,2018,7,2018-04-08,martin_truex_jr,Martin Truex Jr.,2018-04-07,2018-04-07T12:30:00Z,2018-04-08T14:00:00Z,https://cf.nascar.com/cacher/2018/1/4682/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 5 of the selected pre-race session.
2018_r08_officialrun_chase_elliott,2018,8,2018-04-16,chase_elliott,Chase Elliott,2018-04-14,2018-04-14T11:05:00Z,2018-04-16T13:00:00Z,https://cf.nascar.com/cacher/2018/1/4683/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.9,Official archived practice run: position 2 of the selected pre-race session.
2018_r08_officialrun_david_ragan,2018,8,2018-04-16,david_ragan,David Ragan,2018-04-14,2018-04-14T11:05:00Z,2018-04-16T13:00:00Z,https://cf.nascar.com/cacher/2018/1/4683/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.95,Official archived practice run: position 1 of the selected pre-race session.
2018_r08_officialrun_denny_hamlin,2018,8,2018-04-16,denny_hamlin,Denny Hamlin,2018-04-14,2018-04-14T11:05:00Z,2018-04-16T13:00:00Z,https://cf.nascar.com/cacher/2018/1/4683/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 3 of the selected pre-race session.
2018_r08_officialrun_kurt_busch,2018,8,2018-04-16,kurt_busch,Kurt Busch,2018-04-14,2018-04-14T11:05:00Z,2018-04-16T13:00:00Z,https://cf.nascar.com/cacher/2018/1/4683/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 4 of the selected pre-race session.
2018_r08_officialrun_michael_mcdowell,2018,8,2018-04-16,michael_mcdowell,Michael McDowell,2018-04-14,2018-04-14T11:05:00Z,2018-04-16T13:00:00Z,https://cf.nascar.com/cacher/2018/1/4683/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 5 of the selected pre-race session.
2018_r09_officialrun_clint_bowyer,2018,9,2018-04-21,clint_bowyer,Clint Bowyer,2018-04-20,2018-04-20T12:35:00Z,2018-04-21T18:30:00Z,https://cf.nascar.com/cacher/2018/1/4684/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 4 of the selected pre-race session.
2018_r09_officialrun_daniel_hemric,2018,9,2018-04-21,daniel_hemric,Daniel Hemric,2018-04-20,2018-04-20T12:35:00Z,2018-04-21T18:30:00Z,https://cf.nascar.com/cacher/2018/1/4684/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 6 of the selected pre-race session.
2018_r09_officialrun_jamie_mcmurray,2018,9,2018-04-21,jamie_mcmurray,Jamie McMurray,2018-04-20,2018-04-20T12:35:00Z,2018-04-21T18:30:00Z,https://cf.nascar.com/cacher/2018/1/4684/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 3 of the selected pre-race session.
2018_r09_officialrun_kyle_larson,2018,9,2018-04-21,kyle_larson,Kyle Larson,2018-04-20,2018-04-20T12:35:00Z,2018-04-21T18:30:00Z,https://cf.nascar.com/cacher/2018/1/4684/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.95,Official archived practice run: position 1 of the selected pre-race session.
2018_r09_officialrun_ricky_stenhouse_jr,2018,9,2018-04-21,ricky_stenhouse_jr,Ricky Stenhouse Jr.,2018-04-20,2018-04-20T12:35:00Z,2018-04-21T18:30:00Z,https://cf.nascar.com/cacher/2018/1/4684/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 5 of the selected pre-race session.
2018_r10_officialrun_daniel_suarez,2018,10,2018-04-29,daniel_suarez,Daniel Suarez,2018-04-27,2018-04-27T13:35:00Z,2018-04-29T14:00:00Z,https://cf.nascar.com/cacher/2018/1/4685/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 3 of the selected pre-race session.
2018_r10_officialrun_erik_jones,2018,10,2018-04-29,erik_jones,Erik Jones,2018-04-27,2018-04-27T13:35:00Z,2018-04-29T14:00:00Z,https://cf.nascar.com/cacher/2018/1/4685/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 4 of the selected pre-race session.
2018_r10_officialrun_jamie_mcmurray,2018,10,2018-04-29,jamie_mcmurray,Jamie McMurray,2018-04-27,2018-04-27T13:35:00Z,2018-04-29T14:00:00Z,https://cf.nascar.com/cacher/2018/1/4685/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.95,Official archived practice run: position 1 of the selected pre-race session.
2018_r10_officialrun_martin_truex_jr,2018,10,2018-04-29,martin_truex_jr,Martin Truex Jr.,2018-04-27,2018-04-27T13:35:00Z,2018-04-29T14:00:00Z,https://cf.nascar.com/cacher/2018/1/4685/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 5 of the selected pre-race session.
2018_r10_officialrun_ty_dillon,2018,10,2018-04-29,ty_dillon,Ty Dillon,2018-04-27,2018-04-27T13:35:00Z,2018-04-29T14:00:00Z,https://cf.nascar.com/cacher/2018/1/4685/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.9,Official archived practice run: position 2 of the selected pre-race session.
2018_r11_officialrun_aric_almirola,2018,11,2018-05-06,aric_almirola,Aric Almirola,2018-05-05,2018-05-05T11:00:00Z,2018-05-06T14:00:00Z,https://cf.nascar.com/cacher/2018/1/4690/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.95,Official archived practice run: position 1 of the selected pre-race session.
2018_r11_officialrun_chase_elliott,2018,11,2018-05-06,chase_elliott,Chase Elliott,2018-05-05,2018-05-05T11:00:00Z,2018-05-06T14:00:00Z,https://cf.nascar.com/cacher/2018/1/4690/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.9,Official archived practice run: position 2 of the selected pre-race session.
2018_r11_officialrun_clint_bowyer,2018,11,2018-05-06,clint_bowyer,Clint Bowyer,2018-05-05,2018-05-05T11:00:00Z,2018-05-06T14:00:00Z,https://cf.nascar.com/cacher/2018/1/4690/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 3 of the selected pre-race session.
2018_r11_officialrun_kevin_harvick,2018,11,2018-05-06,kevin_harvick,Kevin Harvick,2018-05-05,2018-05-05T11:00:00Z,2018-05-06T14:00:00Z,https://cf.nascar.com/cacher/2018/1/4690/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 5 of the selected pre-race session.
2018_r11_officialrun_kyle_larson,2018,11,2018-05-06,kyle_larson,Kyle Larson,2018-05-05,2018-05-05T11:00:00Z,2018-05-06T14:00:00Z,https://cf.nascar.com/cacher/2018/1/4690/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 4 of the selected pre-race session.
2018_r12_officialrun_clint_bowyer,2018,12,2018-05-12,clint_bowyer,Clint Bowyer,2018-05-11,2018-05-11T11:35:00Z,2018-05-12T20:00:00Z,https://cf.nascar.com/cacher/2018/1/4686/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 5 of the selected pre-race session.
2018_r12_officialrun_erik_jones,2018,12,2018-05-12,erik_jones,Erik Jones,2018-05-11,2018-05-11T11:35:00Z,2018-05-12T20:00:00Z,https://cf.nascar.com/cacher/2018/1/4686/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 4 of the selected pre-race session.
2018_r12_officialrun_kevin_harvick,2018,12,2018-05-12,kevin_harvick,Kevin Harvick,2018-05-11,2018-05-11T11:35:00Z,2018-05-12T20:00:00Z,https://cf.nascar.com/cacher/2018/1/4686/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.95,Official archived practice run: position 1 of the selected pre-race session.
2018_r12_officialrun_kyle_busch,2018,12,2018-05-12,kyle_busch,Kyle Busch,2018-05-11,2018-05-11T11:35:00Z,2018-05-12T20:00:00Z,https://cf.nascar.com/cacher/2018/1/4686/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 3 of the selected pre-race session.
2018_r12_officialrun_kyle_larson,2018,12,2018-05-12,kyle_larson,Kyle Larson,2018-05-11,2018-05-11T11:35:00Z,2018-05-12T20:00:00Z,https://cf.nascar.com/cacher/2018/1/4686/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.9,Official archived practice run: position 2 of the selected pre-race session.
2018_r13_officialrun_denny_hamlin,2018,13,2018-05-27,denny_hamlin,Denny Hamlin,2018-05-26,2018-05-26T11:05:00Z,2018-05-27T18:00:00Z,https://cf.nascar.com/cacher/2018/1/4689/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 5 of the selected pre-race session.
2018_r13_officialrun_erik_jones,2018,13,2018-05-27,erik_jones,Erik Jones,2018-05-26,2018-05-26T11:05:00Z,2018-05-27T18:00:00Z,https://cf.nascar.com/cacher/2018/1/4689/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.95,Official archived practice run: position 1 of the selected pre-race session.
2018_r13_officialrun_joey_logano,2018,13,2018-05-27,joey_logano,Joey Logano,2018-05-26,2018-05-26T11:05:00Z,2018-05-27T18:00:00Z,https://cf.nascar.com/cacher/2018/1/4689/weekend-feed.json,NASCAR archived timing feed,primary,0,0,1,0.9,Official archived practice run: position 4 of the selected pre-race session.
2018_r13_officialrun_kyle_larson,2018,13,2018-05-27,kyle_larson,Kyle Larson,2018-05-26,2018-05-26T11:05:00Z,2018-05-27T18:00:00Z,https://cf.nascar.com/cacher/2018/1/4689/weekend-feed.json,NASCAR archived timing feed,primary,0,0,2,0.9,Official archived practice run: position 2 of the selected pre-race session.
